Date,Text,Likes,Retweets
2023-07-26,Market volatility creating trading opportunities,88,83
2023-09-23,Investors confident about long term growth,309,120
2023-10-10,Hydropower stocks trending among investors,290,42
2022-06-23,Great opportunity to buy hydropower stocks,22,30
2023-10-26,Investors confident about long term growth,468,122
2022-04-12,Banking sector showing strong momentum,172,128
2023-09-25,Market looks bearish today,240,120
2022-06-23,Market looks bearish today,153,51
2023-05-28,Great opportunity to buy hydropower stocks,58,93
2023-03-21,Banking stocks may rise tomorrow,189,65
2023-09-30,Hydropower stocks trending among investors,207,143
2023-09-04,Great opportunity to buy hydropower stocks,31,124
2022-06-18,Market volatility creating trading opportunities,11,87
2023-09-19,Market looks bearish today,411,47
2023-04-04,Great opportunity to buy hydropower stocks,377,124
2022-03-05,NEPSE might correct soon,372,14
2022-11-07,Great opportunity to buy hydropower stocks,145,121
2022-06-28,Market looks bearish today,93,128
2022-03-02,Market volatility creating trading opportunities,180,78
2023-05-30,Market looks bearish today,145,48
2023-08-01,Great opportunity to buy hydropower stocks,308,78
2023-07-20,Market volatility creating trading opportunities,178,48
2023-08-06,Great opportunity to buy hydropower stocks,73,96
2022-03-05,Banking stocks may rise tomorrow,281,120
2022-09-05,Investors confident about long term growth,422,142
2023-09-05,Great opportunity to buy hydropower stocks,332,48
2022-09-24,Great opportunity to buy hydropower stocks,398,65
2022-01-24,Market volatility creating trading opportunities,268,69
2022-11-24,Banking sector showing strong momentum,8,94
2022-06-27,Investors confident about long term growth,193,74
2023-04-09,Hydropower stocks trending among investors,320,8
2023-10-15,Great opportunity to buy hydropower stocks,396,85
2022-05-23,NEPSE might correct soon,148,70
2023-02-03,Great opportunity to buy hydropower stocks,224,140
2022-10-02,Market looks bearish today,222,58
2022-08-23,Market volatility creating trading opportunities,311,141
2022-01-06,Hydropower stocks trending among investors,36,77
2023-10-30,Hydropower stocks trending among investors,302,109
2022-08-25,Investors confident about long term growth,485,90
2022-11-05,Banking stocks may rise tomorrow,27,123
2022-10-30,Banking sector showing strong momentum,74,114
2022-01-03,Banking sector showing strong momentum,23,105
2023-05-08,Market volatility creating trading opportunities,294,43
2022-03-11,Market volatility creating trading opportunities,465,68
2022-08-23,Investors confident about long term growth,49,15
2023-05-15,Investors confident about long term growth,50,30
2023-04-19,Investors confident about long term growth,177,43
2023-04-07,Great opportunity to buy hydropower stocks,452,75
2023-06-26,NEPSE might correct soon,447,100
2023-07-14,Market looks bearish today,22,14
2023-10-20,Hydropower stocks trending among investors,316,81
2023-03-29,Great opportunity to buy hydropower stocks,18,59
2023-08-03,Banking stocks may rise tomorrow,477,137
2022-07-27,Banking sector showing strong momentum,394,99
2023-01-24,Hydropower stocks trending among investors,123,98
2022-05-18,Hydropower stocks trending among investors,260,74
2023-08-19,NEPSE might correct soon,231,53
2022-05-15,NEPSE might correct soon,150,105
2023-11-10,NEPSE might correct soon,446,26
2022-08-23,Banking stocks may rise tomorrow,460,99
2022-06-02,Banking stocks may rise tomorrow,357,15
2022-08-18,Market volatility creating trading opportunities,404,12
2023-03-06,Hydropower stocks trending among investors,412,94
2022-08-04,Investors confident about long term growth,457,41
2023-01-14,Banking stocks may rise tomorrow,404,144
2022-02-24,Banking stocks may rise tomorrow,139,32
2022-06-19,Market looks bearish today,290,118
2023-02-17,Banking sector showing strong momentum,407,117
2023-03-30,Great opportunity to buy hydropower stocks,313,130
2022-07-27,Investors confident about long term growth,140,62
2022-09-21,Hydropower stocks trending among investors,326,92
2022-04-12,Hydropower stocks trending among investors,207,38
2023-03-01,Banking stocks may rise tomorrow,398,4
2023-10-12,NEPSE might correct soon,173,45
2023-03-29,NEPSE might correct soon,234,77
2022-02-09,Banking stocks may rise tomorrow,451,118
2023-02-11,Great opportunity to buy hydropower stocks,275,121
2022-04-15,Market looks bearish today,321,10
2023-02-06,Great opportunity to buy hydropower stocks,85,9
